Comment,Designator,Footprint,LCSC Part #
0.4R / 1W,R1,R2512,
1.2k,RPROG,R0805,
1.5k,R6,R0402,
1k,R2 R3,R0402,
3k,R7,R0402,
5.1k,R4 R5,R0402,
5k,R8,R0402,
10k,R9,R0402,
10uF/16V,C1 C2,C0805,
GREEN,STDBY,CHIPLED_0402,
JST-PH-2_SMD/90SMD,BATT,S2B-PH-SM4,C47647
RED,CHRG,CHIPLED_0402,
TP4056-42-ESOP8,IC2,SOIC127P600X175-9N,
USB-C_GT-USB-7010B,J4,G-SWITCH_GT-USB-7010B,C2837092
JUMPER-SMT_2_NC_TRACE_NO-SILK,JP1,SMT-JUMPER_2_NC_TRACE_NO-SILK,
JUMPER-SMT_2_NO_NO-SILK,JP2 JP3 JP4 JP5,SMT-JUMPER_2_NO_NO-SILK,
